improve 0.2.3.0.1 at Shape(x=250, y=300, w=50, h=50) depth 4
improve 0.3.0.0.2 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.1 at Shape(x=100, y=200, w=100, h=100) depth 3
improve 0.3.0.1.0 at Shape(x=100, y=200, w=50, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=150, y=200, w=50, h=100) depth 4
improve 0.3.0.1.0 at Shape(x=100, y=200, w=100, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=100, y=250, w=100, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.0.1.2 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.0.1.3 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=200, h=50) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=100, y=200, w=100, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=200, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=225, w=200, h=25) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=100, y=200, w=100, h=25) depth 4
improve 0.3.0.0.2 at Shape(x=100, y=225, w=100, h=25) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=225, w=100, h=25) depth 4
improve 0.3.0.1 at Shape(x=0, y=250, w=200, h=50) depth 3
improve 0.3.0.1.0 at Shape(x=0, y=250, w=100, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=100, y=250, w=100, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=250, w=200, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=0, y=275, w=200, h=25) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=250, w=100, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=100, y=250, w=100, h=25) depth 4
improve 0.3.0.1.2 at Shape(x=100, y=275, w=100, h=25) depth 4
improve 0.3.0.1.3 at Shape(x=0, y=275, w=100, h=25) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=100, h=50) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=225, w=100, h=25) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=25) depth 4
improve 0.3.0.0.2 at Shape(x=50, y=225, w=50, h=25) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=225, w=50, h=25) depth 4
improve 0.3.0.1 at Shape(x=100, y=200, w=100, h=50) depth 3
improve 0.3.0.1.0 at Shape(x=100, y=200, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=150, y=200, w=50, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=100, y=200, w=100, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=100, y=225, w=100, h=25) depth 4
improve 0.3.0.1.0 at Shape(x=100, y=200, w=50, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=150, y=200, w=50, h=25) depth 4
improve 0.3.0.1.2 at Shape(x=150, y=225, w=50, h=25) depth 4
improve 0.3.0.1.3 at Shape(x=100, y=225, w=50, h=25) depth 4
improve 0.3.0.2 at Shape(x=100, y=250, w=100, h=50) depth 3
improve 0.3.0.2.0 at Shape(x=100, y=250, w=50, h=50) depth 4
improve 0.3.0.2.1 at Shape(x=150, y=250, w=50, h=50) depth 4
improve 0.3.0.2.0 at Shape(x=100, y=250, w=100, h=25) depth 4
improve 0.3.0.2.1 at Shape(x=100, y=275, w=100, h=25) depth 4
improve 0.3.0.2.0 at Shape(x=100, y=250, w=50, h=25) depth 4
improve 0.3.0.2.1 at Shape(x=150, y=250, w=50, h=25) depth 4
improve 0.3.0.2.2 at Shape(x=150, y=275, w=50, h=25) depth 4
improve 0.3.0.2.3 at Shape(x=100, y=275, w=50, h=25) depth 4
improve 0.3.0.3 at Shape(x=0, y=250, w=100, h=50) depth 3
improve 0.3.0.3.0 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.3.1 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.3.0 at Shape(x=0, y=250, w=100, h=25) depth 4
improve 0.3.0.3.1 at Shape(x=0, y=275, w=100, h=25) depth 4
improve 0.3.0.3.0 at Shape(x=0, y=250, w=50, h=25) depth 4
improve 0.3.0.3.1 at Shape(x=50, y=250, w=50, h=25) depth 4
improve 0.3.0.3.2 at Shape(x=50, y=275, w=50, h=25) depth 4
improve 0.3.0.3.3 at Shape(x=0, y=275, w=50, h=25) depth 4
improve 0.3.1 at Shape(x=0, y=300, w=200, h=100) depth 2
improve 0.3.1.0 at Shape(x=0, y=300, w=100, h=100) depth 3
improve 0.3.1.0.0 at Shape(x=0, y=300, w=50, h=100) depth 4
improve 0.3.1.0.1 at Shape(x=50, y=300, w=50, h=100) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=100, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=0, y=350, w=100, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.1.0.2 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.1.0.3 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.1.1 at Shape(x=100, y=300, w=100, h=100) depth 3
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=100) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=100) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=100, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=350, w=100, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.1.1.2 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.1.1.3 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.1.0 at Shape(x=0, y=300, w=200, h=50) depth 3
improve 0.3.1.0.0 at Shape(x=0, y=300, w=100, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=300, w=100, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=200, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=0, y=325, w=200, h=25) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=100, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=100, y=300, w=100, h=25) depth 4
improve 0.3.1.0.2 at Shape(x=100, y=325, w=100, h=25) depth 4
improve 0.3.1.0.3 at Shape(x=0, y=325, w=100, h=25) depth 4
improve 0.3.1.1 at Shape(x=0, y=350, w=200, h=50) depth 3
improve 0.3.1.1.0 at Shape(x=0, y=350, w=100, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=350, w=100, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=0, y=350, w=200, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=0, y=375, w=200, h=25) depth 4
improve 0.3.1.1.0 at Shape(x=0, y=350, w=100, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=350, w=100, h=25) depth 4
improve 0.3.1.1.2 at Shape(x=100, y=375, w=100, h=25) depth 4
improve 0.3.1.1.3 at Shape(x=0, y=375, w=100, h=25) depth 4
improve 0.3.1.0 at Shape(x=0, y=300, w=100, h=50) depth 3
improve 0.3.1.0.0 at Shape(x=0, y=300, w=50, h=50) depth 4
improve 0.3.1.0.1 at Shape(x=50, y=300, w=50, h=50) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=100, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=0, y=325, w=100, h=25) depth 4
improve 0.3.1.0.0 at Shape(x=0, y=300, w=50, h=25) depth 4
improve 0.3.1.0.1 at Shape(x=50, y=300, w=50, h=25) depth 4
improve 0.3.1.0.2 at Shape(x=50, y=325, w=50, h=25) depth 4
improve 0.3.1.0.3 at Shape(x=0, y=325, w=50, h=25) depth 4
improve 0.3.1.1 at Shape(x=100, y=300, w=100, h=50) depth 3
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=50) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=50) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=100, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=100, y=325, w=100, h=25) depth 4
improve 0.3.1.1.0 at Shape(x=100, y=300, w=50, h=25) depth 4
improve 0.3.1.1.1 at Shape(x=150, y=300, w=50, h=25) depth 4
improve 0.3.1.1.2 at Shape(x=150, y=325, w=50, h=25) depth 4
improve 0.3.1.1.3 at Shape(x=100, y=325, w=50, h=25) depth 4
improve 0.3.1.2 at Shape(x=100, y=350, w=100, h=50) depth 3
improve 0.3.1.2.0 at Shape(x=100, y=350, w=50, h=50) depth 4
improve 0.3.1.2.1 at Shape(x=150, y=350, w=50, h=50) depth 4
improve 0.3.1.2.0 at Shape(x=100, y=350, w=100, h=25) depth 4
improve 0.3.1.2.1 at Shape(x=100, y=375, w=100, h=25) depth 4
improve 0.3.1.2.0 at Shape(x=100, y=350, w=50, h=25) depth 4
improve 0.3.1.2.1 at Shape(x=150, y=350, w=50, h=25) depth 4
improve 0.3.1.2.2 at Shape(x=150, y=375, w=50, h=25) depth 4
improve 0.3.1.2.3 at Shape(x=100, y=375, w=50, h=25) depth 4
improve 0.3.1.3 at Shape(x=0, y=350, w=100, h=50) depth 3
improve 0.3.1.3.0 at Shape(x=0, y=350, w=50, h=50) depth 4
improve 0.3.1.3.1 at Shape(x=50, y=350, w=50, h=50) depth 4
improve 0.3.1.3.0 at Shape(x=0, y=350, w=100, h=25) depth 4
improve 0.3.1.3.1 at Shape(x=0, y=375, w=100, h=25) depth 4
improve 0.3.1.3.0 at Shape(x=0, y=350, w=50, h=25) depth 4
improve 0.3.1.3.1 at Shape(x=50, y=350, w=50, h=25) depth 4
improve 0.3.1.3.2 at Shape(x=50, y=375, w=50, h=25) depth 4
improve 0.3.1.3.3 at Shape(x=0, y=375, w=50, h=25) depth 4
improve 0.3.0 at Shape(x=0, y=200, w=100, h=100) depth 2
improve 0.3.0.0 at Shape(x=0, y=200, w=50, h=100) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=100) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=100) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=25, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=25, y=200, w=25, h=50) depth 4
improve 0.3.0.0.2 at Shape(x=25, y=250, w=25, h=50) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=250, w=25, h=50) depth 4
improve 0.3.0.1 at Shape(x=50, y=200, w=50, h=100) depth 3
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=100) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=100) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=50, y=200, w=25, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=75, y=200, w=25, h=50) depth 4
improve 0.3.0.1.2 at Shape(x=75, y=250, w=25, h=50) depth 4
improve 0.3.0.1.3 at Shape(x=50, y=250, w=25, h=50) depth 4
improve 0.3.0.0 at Shape(x=0, y=200, w=100, h=50) depth 3
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=50) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=50) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=100, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=0, y=225, w=100, h=25) depth 4
improve 0.3.0.0.0 at Shape(x=0, y=200, w=50, h=25) depth 4
improve 0.3.0.0.1 at Shape(x=50, y=200, w=50, h=25) depth 4
improve 0.3.0.0.2 at Shape(x=50, y=225, w=50, h=25) depth 4
improve 0.3.0.0.3 at Shape(x=0, y=225, w=50, h=25) depth 4
improve 0.3.0.1 at Shape(x=0, y=250, w=100, h=50) depth 3
improve 0.3.0.1.0 at Shape(x=0, y=250, w=50, h=50) depth 4
improve 0.3.0.1.1 at Shape(x=50, y=250, w=50, h=50) depth 4
improve 0.3.0.1.0 at Shape(x=0, y=250, w=100, h=25) depth 4
improve 0.3.0.1.1 at Shape(x=0, y=275, w=100, h=25) depth 4
